Names,Cost,Points
Jakob Fuglsang,22,214
Mathieu Van Der Poel,20,223
Simon Yates,20,830
Geraint Thomas,18,786
Vincenzo Nibali,18,66
Aleksandr Vlasov,16,660
Michael Woods,16,728
Pascal Ackermann,14,658
Wilco Kelderman,14,699
Michael Matthews,14,200
Dylan Teuns,12,0
Patrick Konrad,12,191
Rafal Majka,12,723
Rohan Dennis,12,110
Chris Froome,12,10
Rui Costa,12,37
Fernando Gaviria,12,454
Andrea Vendrame,10,107
Tim Merlier,10,250
Alex Aranburu,10,168
Phil Bauhaus,10,0
Ivan Garcia Cortina,10,40
Davide Ballerini,10,188
James Knox,10,323
Fausto Masnada,10,495
Simon Clarke,10,62
Ruben Guerreiro,10,191
Eddie Dunbar,10,0
Tao Geoghegan Hart,10,17
Jack Haig,10,308
Sam Oomen,10,246
Sergio Henao,10,143
Giovanni Visconti,10,51
Mathias Frank,8,65
Kristian Sbaragli,8,16
Fabio Felline,8,40
Oscar Rodriguez,8,60
Hermann Pernsteiner,8,62
Ruediger Selig,8,56
Florian Senechal,8,26
Magnus Cort,8,301
Simone Velasco,8,0
Filippo Ganna,8,160
Matthias Braendle,8,8
Davide Cimolai,8,207
Carl Fredrik Hagen,8,58
Matthew Holmes,8,19
Edoardo Affini,8,50
Lucas Hamilton,8,213
Davide Villella,8,30
Victor Campenaerts,8,132
Enrico Gasparotto,8,0
Louis Meintjes,8,162
Timo Roosen,8,0
Mike Teunissen,8,110
Jos Van Emden,8,60
Chris Hamilton,8,48
Jai Hindley,8,220
Rein Taaramae,8,0
Gianluca Brambilla,8,218
Max Richeze,8,16
Riccardo Stacchiotti,8,0
Geoffrey Bouchard,6,15
Silvan Dillier,6,43
Larry Warbasse,6,86
Dries De Bondt,6,49
Otto Vergaerde,6,16
Nicola Bagioli,6,44
Davide Gabburo,6,20
Luca Pacioni,6,53
Simon Pellaud,6,77
Jhonathan Restrepo,6,10
Kevin Rivera,6,0
Manuele Boaro,6,28
Yuriy Natarov,6,40
Heinrich Haussler,6,0
Mark Padun,6,0
Jan Tratnik,6,50
Giovanni Carboni,6,0
Giovanni Lonardi,6,37
Maciej Bodnar,6,76
Matteo Fabbro,6,201
Victor De La Parte,6,113
Szymon Sajnok,6,108
Nathan Van Hooydonck,6,60
Lukasz Wisniowski,6,0
Piet Allegaert,6,106
Dimitri Claeys,6,10
Nathan Haas,6,45
Fabio Sabatini,6,0
Julien Vermote,6,10
Iljo Keisse,6,6
Jonathan Caicedo,6,57
Lawson Craddock,6,57
Tanel Kangert,6,155
Marco Canola,6,89
Imerio Cima,6,36
Ivan Rovny,6,0
Kilian Frankiny,6,15
Tobias Ludvigsson,6,80
Anthony Roux,6,0
Romain Seigle,6,65
Benjamin Thomas,6,87
Salvatore Puccio,6,10
Alex Dowsett,6,8
Dani Navarro,6,28
Rick Zabel,6,126
Adam Hansen,6,0
Brent Bookwalter,6,50
Michael Hepburn,6,50
Cameron Meyer,6,50
Sergio Samitier,6,10
Eduardo Sepulveda,6,0
Carlos Barbero,6,15
Samuele Battistella,6,0
Ben Dyball,6,0
Amanuel Ghebreigzabhier,6,10
Pascal Eenkhoorn,6,62
Paul Martens,6,63
Alberto Dainese,6,58
Martijn Tusveld,6,70
Jonathan Hivert,6,0
Lorrenzo Manzin,6,132
Adrien Petit,6,0
Julien Simon,6,0
Niki Terpstra,6,0
Pieter Weening,6,0
Mikkel Bjerg,6,31
Juan Sebastian Molano,6,16
Alexandr Riabushenko,6,16
Marco Frapporti,6,12
Luca Wackermann,6,3
Edoardo Zardini,6,24
Axel Domont,4,29
Jaakko Hanninen,4,40
Jonas Rickaert,4,97
Louis Vervaeke,4,108
Josip Rumac,4,12
Fabio Mazzucco,4,0
Umberto Orsini,4,16
Francesco Romano,4,0
Daniel Savini,4,17
Alessandro Tonelli,4,35
Pawel Poljanski,4,76
Will Barta,4,36
Pavel Kochetkov,4,0
Georg Zimmermann,4,0
Kenneth Vanbilsen,4,0
Attilio Viviani,4,20
Stijn Steels,4,6
Bert Van Lerberghe,4,9
Igor Boev,4,0
Denis Nekrasov,4,47
Aleksey Rybalkin,4,0
Bruno Armirail,4,111
Olivier Le Gac,4,0
Alexander Cataford,4,8
Guy Sagiv,4,8
Kobe Goossens,4,10
Nikolas Maes,4,25
Stefano Oldani,4,0
Florian Vermeersch,4,40
Juan Diego Alba,4,0
Hector Carretero,4,157
Matteo Jorgenson,4,0
Albert Torres,4,4
Christoph Pfingsten,4,26
Maarten Wynants,4,0
Dries Van Gestel,4,0
Julien Bernard,4,31
Koen De Kort,4,0
Alex Kirsch,4,0
Antonio Nibali,4,0
James Mitri,4,0
Veljko Stojnic,4,13
