Names,Cost,Points
Egan Bernal,24,2964
Remco Evenepoel,18,743
Joao Almeida,16,1521
Emanuel Buchmann,16,245
Pavel Sivakov,14,32
Pello Bilbao,12,351
Vincenzo Nibali,12,276
Bauke Mollema,10,430
Marc Soler,10,270
Tobias Foss,8,925
Gorka Izagirre,8,241
Felix Grossschartner,8,86
