Names,Cost,Points
Primoz Roglic,26,3403
Egan Bernal,22,1486
Adam Yates,16,1611
Enric Mas,12,2267
Aleksandr Vlasov,12,566
Pavel Sivakov,12,376
Alejandro Valverde,12,221
Steven Kruijswijk,8,819
Mauri Vansevenant,8,228
Ion Izagirre,8,172
Felix Grossschartner,6,1031
David De La Cruz,6,897
Gorka Izagirre,6,48
