Names,Cost,Points
Mathieu Van Der Poel,32,48
Julian Alaphilippe,32,21
Greg Van Avermaet,28,87
Peter Sagan,28,7
Jakob Fuglsang,26,105
Philippe Gilbert,26,18
Wout Van Aert,24,195
Max Schachmann,24,150
Zdenek Stybar,22,82
Michal Kwiatkowski,22,72
Tadej Pogacar,22,69
Rui Costa,20,15
Michael Valgren,20,3
Davide Formolo,18,150
Alberto Bettiol,18,120
Diego Ulissi,18,60
Gorka Izagirre,16,42
Matej Mohoric,16,36
Andrea Vendrame,16,33
Valerio Conti,12,45
Amund Jansen,12,20
Jan Polanc,12,15
Diego Rosa,10,64
Stefan Kueng,10,51
Loic Vliegen,10,39
Antwan Tolhoek,10,20
Gregor Muehlberger,8,67
Daniel Oss,8,19
Alexandr Riabushenko,8,15
Oscar Gatto,8,7
Michael Gogl,6,83
Brent Bookwalter,6,76
Marcus Burghardt,6,31
Jack Bauer,6,27
Koen Bouwman,6,20
Paul Martens,6,20
Simon Pellaud,6,15
Michael Schaer,6,9
Cesare Benedetti,6,7
Hugo Houle,6,6
Bert-Jan Lindeman,4,20
Maarten Wynants,4,20
Josip Rumac,4,15
